               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.3577,              1.0732,              1.4165,             0.96514,             0.95641,             0.98724,             0.59377,                   0,                   0,                   0,             0.07006,           0.0033267,           0.0033267
                   1,              1.2674,             0.71026,              1.3438,             0.95493,              0.9566,             0.98606,             0.58761,                   0,                   0,                   0,             0.03973,           0.0063303,           0.0063303
                   2,              1.3332,             0.70395,              1.3564,             0.95956,             0.97284,              0.9886,             0.57891,                   0,                   0,                   0,           0.0090707,            0.009004,            0.009004
                   3,              1.3345,             0.69795,              1.3668,             0.96426,             0.96612,             0.98837,             0.60446,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   4,              1.3292,             0.67799,              1.3653,             0.95957,             0.96834,             0.98848,             0.56865,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   5,              1.2515,             0.61529,              1.3906,             0.96013,             0.96627,             0.98665,             0.57286,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   6,              1.2633,             0.62495,              1.3914,             0.95775,              0.9699,             0.98224,             0.60109,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                   7,              1.2452,             0.58796,              1.3728,             0.95865,             0.96367,             0.98923,             0.59982,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   8,              1.2238,             0.57242,              1.3622,             0.96174,              0.9784,              0.9904,              0.6399,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                   9,              1.2247,             0.56343,              1.3648,             0.96248,             0.97171,             0.99049,             0.64559,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  10,              1.2071,             0.55115,               1.361,             0.97105,             0.97473,             0.98908,             0.62007,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  11,              1.1945,               0.536,              1.3461,             0.95909,             0.97302,              0.9883,             0.62873,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  12,              1.1905,             0.52708,              1.3456,             0.95916,             0.97504,             0.98882,             0.60827,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  13,              1.1782,             0.52068,              1.3441,             0.96691,             0.97457,             0.99125,              0.6353,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  14,              1.1574,             0.50472,              1.3377,             0.96838,             0.96939,             0.98935,             0.62191,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  15,              1.1564,             0.49807,               1.332,             0.95967,             0.98236,             0.99161,             0.62798,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  16,              1.1387,             0.47962,              1.3237,             0.96607,             0.97504,             0.99161,             0.65714,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  17,              1.1259,             0.47294,              1.3221,             0.96966,             0.97854,             0.99172,             0.64149,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  18,                1.11,             0.45991,              1.3156,             0.96623,             0.97986,              0.9916,             0.65457,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  19,              1.1004,             0.44706,                1.31,             0.96637,              0.9782,             0.99184,             0.61933,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
